lambda_theo;lambda_obs;y_obs;delta;curvature;slope;velocity_ms
3953,1514;3953,1549;0,3162;0,0035;3149936853;471,8492;247,7761
3955,3413;3955,3356;0,3412;-0,0057;2835581368;-945,9924;-447,8804
3955,9555;3955,9564;0,3683;0,0009;3147971313;987,0154;50,4391
3957,0184;3957,0462;0,1559;0,0278;1888270506;-842,0067;2089,7809
3963,1005;3963,1063;0,3837;0,0058;1113290080;402,9440;422,9274
3995,9835;3995,9819;0,2150;-0,0016;3234566495;-317,2832;-139,8155
4006,3108;4006,3100;0,2288;-0,0008;3851715815;-69,3009;-79,1275
4006,6242;4006,6227;0,2167;-0,0015;2947755144;853,9862;-129,6885
4011,4075;4011,4068;0,2233;-0,0007;3900370951;386,2950;-70,1022
4030,1849;4030,1869;0,1340;0,0020;1896189716;921,6018;132,2708
4031,9607;4031,9582;0,1979;-0,0025;3089543032;-345,5406;-204,4547
4040,6381;4040,6383;0,2064;0,0002;3670933184;860,6366;0,8720
4059,7135;4059,7201;0,2386;0,0066;2646381217;527,6941;471,7626
4066,5852;4066,5852;0,1805;0,0000;3305823507;107,7263;-13,8017
4070,7707;4070,7656;0,1200;-0,0051;1498075202;-448,1411;-388,6134
4073,7623;4073,7598;0,1548;-0,0025;2765788840;-832,1029;-198,8852
4076,6291;4076,6294;0,1079;0,0003;1200192301;-845,9644;4,8247
4080,2092;4080,2104;0,1816;0,0012;3049054806;328,3337;74,4798
4084,4915;4084,4914;0,1336;-0,0001;2450639978;122,8395;-20,4962
4085,0041;4085,0049;0,1416;0,0008;2772348883;685,4163;38,9156
4085,3031;4085,2895;0,1137;-0,0136;975881785;0,8879;-1017,1212
4087,0939;4087,1032;0,1805;0,0093;2454718010;381,7529;665,6966
4089,2169;4089,2120;0,2091;-0,0049;4357779799;-816,3482;-373,2296
4098,1758;4098,1711;0,1165;-0,0047;928233229;519,0064;-363,3336
4106,4229;4106,4182;0,2177;-0,0047;3913743100;-627,2301;-363,3734
4109,0561;4109,0554;0,1455;-0,0007;2005319211;-954,1082;-69,3781
4122,5155;4122,5138;0,1494;-0,0017;3988224039;469,6629;-142,7561
4125,8804;4125,8816;0,1896;0,0012;3446588643;-10,1724;69,3993
4127,7843;4127,7931;0,1502;0,0088;1394243784;-389,0770;619,6634
4146,0642;4146,0622;0,1977;-0,0020;2009916272;66,6220;-162,8086
4154,4987;4154,5011;0,1155;0,0024;1408887817;807,2770;152,9582
4154,8055;4154,8187;0,1207;0,0132;1067464633;243,3381;935,4673
4156,7988;4156,7992;0,1113;0,0004;1416098907;-886,5824;8,8054
4181,7547;4181,7575;0,0897;0,0028;723415199;877,1716;183,4817
4182,3826;4182,3798;0,1519;-0,0028;2707602083;-911,3374;-220,4399
4195,6179;4195,6182;0,1644;0,0003;1958076910;-262,7473;2,4087
4196,2083;4196,2059;0,1368;-0,0024;2619680075;-125,5658;-189,9149
4202,753;4202,7505;0,2226;-0,0025;3035735091;268,9211;-194,5927
4207,1271;4207,1259;0,1334;-0,0012;3012307310;-325,5810;-105,0171
4238,81;4238,8077;0,0933;-0,0023;1362169734;-286,1989;-181,6688
4242,7294;4242,7261;0,1548;-0,0033;2748695760;342,0378;-250,9131
4266,9645;4266,9646;0,1482;0,0001;3326013385;-443,0578;-9,8248
4267,8265;4267,8275;0,1436;0,0010;2263310370;58,3850;52,0380
4285,442;4285,4499;0,1491;0,0079;1752877297;-940,6082;535,2388
4302,1858;4302,1851;0,1635;-0,0007;1687019466;-451,6913;-62,3088
4309,0307;4309,0415;0,1629;0,0108;1090280189;294,3645;735,5606
4326,7533;4326,7563;0,1833;0,0030;2201073622;482,3767;193,7056
4327,9034;4327,9110;0,2112;0,0076;2733698429;63,8516;508,2925
4388,4068;4388,4059;0,2003;-0,0009;3956120046;363,4637;-79,6828
4401,2899;4401,2930;0,2062;0,0031;3480022761;993,7953;195,7273
4430,1891;4430,1890;0,1976;-0,0001;3052617620;-71,7833;-26,6901
4432,5678;4432,5760;0,2508;0,0082;4697603687;261,7052;535,6545
4433,2187;4433,2329;0,1599;0,0142;2118265351;272,2891;946,5489
4442,8316;4442,8284;0,1251;-0,0032;3402783684;71,3045;-229,7741
4445,4715;4445,4728;0,0386;0,0013;1929351642;935,0041;72,6935
4447,1304;4447,1308;0,1221;0,0004;2951391132;577,1809;13,1035
4450,3156;4450,3062;0,2010;-0,0094;3389657632;-382,4646;-653,2210
4454,381;4454,3831;0,1207;0,0021;2282550779;394,8048;124,4911
4458,0802;4458,0810;0,2579;0,0008;4324391726;693,0502;34,9080
4469,3756;4469,3744;0,1470;-0,0012;2701098136;-350,9610;-99,5284
4481,6093;4481,6000;0,2624;-0,0093;4427260102;-38,7776;-639,8172
4484,2198;4484,2193;0,1742;-0,0005;3913215508;61,0973;-51,0099
4485,6756;4485,6755;0,2304;-0,0001;4835532919;15,6217;-23,7009
4490,084;4490,0789;0,1582;-0,0051;3040841774;293,5200;-354,1708
4502,5909;4502,5861;0,4185;-0,0048;5983304827;-40,0071;-338,1167
4514,1839;4514,1837;0,2269;-0,0002;4600124834;326,1877;-33,2124
4547,8474;4547,8357;0,1700;-0,0117;2715564235;-800,1989;-786,5725
4556,1259;4556,1334;0,1433;0,0075;1753423471;-861,6947;473,7539
4587,1276;4587,1233;0,2886;-0,0043;4640999483;-257,8524;-295,8215
4598,1171;4598,1240;0,1718;0,0069;3421445815;859,9563;430,9590
4599,8425;4599,8320;0,3379;-0,0105;5028115016;-660,9629;-700,2283
4602,001;4602,0015;0,0978;0,0005;2400010072;692,1180;13,2221
4618,7577;4618,7690;0,1906;0,0113;3093773530;864,8561;716,7829
4619,288;4619,2903;0,1852;0,0023;4011008287;444,2013;131,1410
4625,0453;4625,0455;0,1505;0,0002;3829610193;-203,1363;-5,8752
4635,8462;4635,8442;0,2318;-0,0020;5355247262;17,8478;-144,3218
4637,5034;4637,5031;0,1657;-0,0003;3803820211;330,6825;-34,1729
4643,4634;4643,4624;0,2307;-0,0010;4049276778;149,8941;-81,5738
4661,9703;4661,9746;0,2387;0,0043;3107538926;695,1756;262,5306
4678,8458;4678,8465;0,1907;0,0007;3858981141;271,5549;25,2622
4680,2948;4680,2946;0,1444;-0,0002;4343783066;303,3290;-29,5630
4683,5597;4683,5552;0,2435;-0,0045;4966197970;-393,6944;-304,4388
4704,9481;4704,9484;0,2854;0,0003;4706401305;507,4978;0,0273
4707,2745;4707,2762;0,1407;0,0017;3135818800;408,4766;93,0252
4707,4877;4707,4809;0,1988;-0,0068;3163068539;-744,2017;-451,5656
